m.09hnb	Herbie Hancock	m.01_d4	Chicago	music.artist.origin,people.person.place_of_birth
m.0m0nq	Mickey Rooney	m.0cr3d	Brooklyn	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.06x58	Salma Hayek	m.0260_w	Coatzacoalcos	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0fn65l	Peer Raben	m.0fkst3	Viechtach	people.person.place_of_birth
m.01l443l	Dave Holland	m.0k5p1	Wolverhampton	people.person.place_of_birth
m.0f5mkf	Nancy Willard	m.0wh3	Ann Arbor	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01mcrvv	Naomi Neville	m.02xc_jh	Gert Town	people.person.place_of_birth
m.019jvk	Hal Linden	m.02_286	New York City	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0c49_3	Hiroshi Kamiya	m.01why4	Matsudo	people.person.place_of_birth
m.06j035	Christine Ebersole	m.0s5t_	Winnetka	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.08h9kt	Ray Barrett	m.01b8jj	Brisbane	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.08zxy9j	John Frazier	m.01_d4	Chicago	people.person.place_of_birth
m.07nznf	Bryan Singer	m.02_286	New York City	people.person.place_of_birth
m.015gw6	Alan Bates	m.0d1rjw	Darley Abbey	people.person.place_of_birth
m.02lgj6	Dan Grimaldi	m.0cr3d	Brooklyn	people.person.place_of_birth
m.08pth9	Elisabeth Moss	m.030qb3t	Los Angeles	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0b13g7	Tim Bevan	m.017cf7	Queenstown	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01d1yr	Leslie Cheung	m.01c708	Kowloon	people.person.place_of_birth
m.01qwly	Gregory Hines	m.02_286	New York City	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.04qx9	Lou Ferrigno	m.0cr3d	Brooklyn	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0mdqp	Ben Stiller	m.02_286	New York City	people.person.place_of_birth
m.02my3z	Armin Mueller-Stahl	m.030v4y	Sovetsk	people.person.place_of_birth
m.03s_zp	Cheryl Ladd	m.0_p2g	Huron	people.person.place_of_birth
m.07vznt	Samantha Power	m.040g74	Castleknock	people.person.place_of_birth
m.01npq2k	Diego Torres	m.01ly5m	Buenos Aires	people.person.places_lived..people.place_lived.location,music.artist.origin,people.person.place_of_birth
m.090gpr	Asha Parekh	m.09c17	Bangalore	people.person.place_of_birth
m.02lnhv	Bai Ling	m.016v46	Chengdu	people.person.place_of_birth
m.018ygt	Alec Baldwin	m.0y7zt	Amityville	people.person.place_of_birth
m.017c87	Darren Aronofsky	m.0cr3d	Brooklyn	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
